NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,ESTIMATESBASE2020,FIPS,density
Cuming County,1477645345,10690204,41.9158651,-96.7885168,05000US31039,8882,31039,6.010914614968045e-06
Wahkiakum County,680976231,61568965,46.2946377,-123.4244583,05000US53069,4318,53069,6.340896794090894e-06
De Baca County,6016818946,29090018,34.3592729,-104.3686961,05000US35011,1995,35011,3.3157055545543416e-07
Lancaster County,2169272970,22847034,40.7835474,-96.6886584,05000US31109,315976,31109,0.0001456598613313289
Nuckolls County,1489645188,1718484,40.1764918,-98.0468422,05000US31129,4204,31129,2.822148545080253e-06
Las Piedras Municipio,87748418,32509,18.1871483,-65.871189,05000US72085,37233,72085,0.0004243153420726058
Minnehaha County,2089701439,18188795,43.6674723,-96.7957261,05000US46099,191682,46099,9.172697899453378e-05
Menard County,2336237980,613559,30.8852677,-99.8588613,05000US48327,2108,48327,9.023053379176722e-07
Sierra County,2468694582,23299110,39.5769252,-120.5219926,05000US06091,2898,06091,1.1738997691857859e-06
Clinton County,510875757,21152699,36.7272577,-85.1360977,05000US21053,10175,21053,1.9916779883528512e-05
Hancock County,1376124980,6021322,41.000217,-83.6659471,05000US39063,75765,39063,5.5056772532390194e-05
Hale County,2602109423,246678,34.0684364,-101.8228879,05000US48189,33463,48189,1.285995112435362e-05
Clay County,1564255426,5281616,33.2703999,-85.8635254,05000US01027,13285,01027,8.492858505833305e-06
Armstrong County,2354617585,12183672,34.964179,-101.3566363,05000US48011,1950,48011,8.281599578727345e-07
Allen County,1042587389,11152061,40.7716274,-84.1061032,05000US39003,102808,39003,9.860852057553518e-05
McDuffie County,666590014,23114032,33.4806126,-82.4795333,05000US13189,21404,13189,3.21096919402696e-05
Sauk County,2153686013,45692969,43.428001,-89.9433184,05000US55111,64152,55111,2.9787071844627335e-05
Stone County,1570673294,8145444,35.8570011,-92.1404819,05000US05137,12582,05137,8.010577405284385e-06
Wallowa County,8147835333,14191752,45.593753,-117.1855796,05000US41063,7065,41063,8.671014706673872e-07
Beaver County,1125854819,24162295,40.6841401,-80.3507209,05000US42007,164781,42007,0.00014636078934792036
Jasper County,1751636189,3130850,32.0167482,-89.1191761,05000US28061,16454,28061,9.39350311630265e-06
Henry County,1805054746,91657543,38.3864909,-93.7926278,05000US29083,21854,29083,1.2107112013321728e-05
Saguache County,8206547699,4454510,38.0316514,-106.2346662,05000US08109,6730,08109,8.200768760315713e-07
Chatham County,1765540358,70582736,35.7049939,-79.2514542,05000US37037,72853,37037,4.1263854247165275e-05
Rich County,2664700959,149106532,41.6275976,-111.2402269,05000US49033,2415,49033,9.062930652099487e-07
Adair County,1486337779,8872711,35.8980428,-94.6510258,05000US40001,22171,40001,1.491652860692038e-05
Lake County,593807529,1942301385,41.7781416,-81.1973297,05000US39085,229755,39085,0.0003869183005929856
Salem city,37593968,275156,37.2853329,-80.0552407,05000US51775,25290,51775,0.0006727143035286938
Montgomery County,1001929082,6282286,37.1755376,-80.3877942,05000US51121,98495,51121,9.830536089778857e-05
Hamilton County,1404197532,86784458,35.163472,-85.2018432,05000US47065,364718,47065,0.0002597341126789561
Otero County,17126455954,36944199,32.6155988,-105.7513079,05000US35035,66804,35035,3.900631875002573e-06
Catron County,17933561654,14193499,33.9016208,-108.3919284,05000US35003,3547,35003,1.9778558595519466e-07
Marengo County,2530155136,14951685,32.2475911,-87.791091,05000US01091,19138,01091,7.563963066018099e-06
Lincoln County,10555073813,49947312,42.2299932,-110.6829614,05000US56023,19640,56023,1.860716499756798e-06
Barton County,1533351028,12152201,37.5007989,-94.3440893,05000US29011,11732,29011,7.651216052792837e-06
Calhoun County,1312960774,1361631001,28.4417191,-96.5795739,05000US48057,21470,48057,1.6352354483973335e-05
Poquoson city,39773690,163429842,37.1283599,-76.3035337,05000US51735,12121,51735,0.00030474919475663437
Pocahontas County,2435206742,4094092,38.332606,-80.0101207,05000US54075,8382,54075,3.442007553377577e-06
Clay County,2819871858,72506860,33.7859042,-98.2129174,05000US48077,10444,48077,3.703714397649058e-06
James City County,368550683,95239463,37.3248367,-76.7778878,05000US51095,76032,51095,0.00020629998398347834
