FIPS,PASSENGERS,AIRPORTS
36081,735715,2
12086,630285,1
06037,433198,2
34013,376218,1
48201,357515,2
17031,319681,2
13063,284559,1
48439,272447,1
06081,212615,1
12011,196086,2
51107,174567,1
12095,131176,1
25025,123037,1
08031,99049,1
53033,97523,2
37119,85223,1
04013,73634,2
42045,59352,1
32003,55852,1
26163,55667,1
24003,33318,1
27053,33293,1
49035,29306,1
48029,26979,1
48453,20738,1
06085,19579,1
12057,17187,1
06073,15510,1
15003,15168,1
06065,14146,1
41051,13509,1
06001,12946,1
06067,12063,1
15009,10599,1
12071,10453,1
06059,9960,1
06019,9868,1
29189,7764,1
06071,6796,1
51013,6457,1
39035,4251,1
37183,4092,1
47037,3571,1
42003,3225,1
22051,2593,1
48061,2371,1
15001,2284,1
32031,1734,1
09003,1707,1
15007,1504,1
21015,1268,1
29165,1230,1
39049,1198,1
12117,868,1
12103,816,1
34001,608,1
12099,265,1
34003,261,1
22079,217,1
48215,205,1
55079,203,1
48113,121,1
08037,113,1
25017,103,1
