fips,r_670,r_680,r_690,r_700,r_710,r_max,TO5_beta,TO7_beta,TO10_beta
60,-0.0452600011250272,0.0292389946996086,0.0816497339748095,0.0842172207333072,0.0766499743106908,0.0842172207333072,0.41,0.38,0.36
66,0.0981526561596802,0.0775481666844989,0.0765516792702693,0.0704353920294214,0.0548680219608398,0.0981526561596802,0.44,0.41,0.39
69,0.0463764461706565,-0.0012615150997265,0.015804635771358,0.029769724955662,0.0471857949900933,0.0471857949900933,0.33,0.31,0.29
78,0.141858124967016,0.16107410828075,0.168349147858181,0.128591464402502,0.0930850436706757,0.168349147858181,0.65,0.61,0.58
1001,0.0794241084222365,0.0547388979068921,0.0498316105270337,0.0355705366947578,0.0085728705337824,0.0794241084222365,0.4,0.37,0.35
1003,0.0822848582038239,0.0657178030872629,0.0614138668242198,0.0483061501791099,0.0260640208852025,0.0822848582038239,0.41,0.38,0.35
1005,0.0869016597177179,0.094930575813991,0.0934490286345297,0.073712044356036,0.0365917098507004,0.094930575813991,0.44,0.41,0.38
1007,0.0859594981108742,0.0698872288045743,0.0682594337101557,0.0559111416545089,0.0328291312638795,0.0859594981108742,0.41,0.38,0.36
1009,0.0554881230887705,0.0573768104904436,0.0587494232878754,0.0550133917784279,0.0407565610704646,0.0587494232878754,0.36,0.33,0.31
1011,0.132013965702975,0.130450320807359,0.136564973340559,0.100891713994635,0.053838456930675,0.136564973340559,0.55,0.51,0.49
1013,0.0835167670594244,0.05768305141022,0.0532821526822109,0.0384352365556479,0.0072408937732757,0.0835167670594244,0.41,0.38,0.36
1015,0.080612824227162,0.0705700250867607,0.0672621666907954,0.0565030147958752,0.0384573117081361,0.080612824227162,0.4,0.37,0.35
1017,0.0962498562898993,0.0944382865557062,0.0946417535004882,0.074439912886707,0.0222124821021716,0.0962498562898993,0.44,0.41,0.39
1019,0.0671495798219184,0.0703390464287786,0.0737077014218463,0.0704796739168067,0.0596836933521693,0.0737077014218463,0.39,0.36,0.34
1021,0.0637131795123564,0.0627716035225996,0.0658090964630135,0.0604586258199584,0.0416583474509981,0.0658090964630135,0.37,0.34,0.32
1023,0.0814190181502353,0.0722870247967168,0.0740886610649602,0.062446190296103,0.0433272509915062,0.0814190181502353,0.4,0.37,0.35
1025,0.10641873902256,0.0879043302186221,0.0858263232983429,0.0751482682831992,0.0495577067771256,0.10641873902256,0.46,0.43,0.41
1027,0.0867298543221131,0.0738225152149804,0.0729296543031503,0.063578481637598,0.0475585529780811,0.0867298543221131,0.42,0.39,0.36
1029,0.0678963324112424,0.0669989985757004,0.0669032981252615,0.0571817713631778,0.0474594134789543,0.0678963324112424,0.38,0.35,0.33
1031,0.0802185870594732,0.0703659041598844,0.0670375765825291,0.0571275335123513,0.0380378512876415,0.0802185870594732,0.4,0.37,0.35
1033,0.0900931360278298,0.0834151828589363,0.0826520027867451,0.0750394239161512,0.0624734999395913,0.0900931360278298,0.42,0.39,0.37
1035,0.0927981959383124,0.0757653527643006,0.0742966513369971,0.0611990511286377,0.0304535540048811,0.0927981959383124,0.43,0.4,0.38
1037,0.074734099526398,0.0672330750755049,0.067396140258965,0.0583216848486884,0.0354193068842555,0.074734099526398,0.39,0.36,0.34
1039,0.0685714725768886,0.0727049211970194,0.078977400920213,0.0761308963061392,0.0571032505323753,0.078977400920213,0.4,0.37,0.35
1041,0.0793776292126294,0.0589639028088299,0.0547941239816821,0.0379987897087993,0.009178282657114,0.0793776292126294,0.4,0.37,0.35
1043,0.0665451903435345,0.0642046404639967,0.0660970492225559,0.0635474648951164,0.0521029785121774,0.0665451903435345,0.37,0.34,0.32
1045,0.0770817617582062,0.0625489528066556,0.0593633415841889,0.0485429311192639,0.0261440696258424,0.0770817617582062,0.4,0.37,0.34
1047,0.0864602573276079,0.066512237816224,0.0621924539928302,0.0483225969058557,0.0217898932388665,0.0864602573276079,0.42,0.39,0.36
1049,0.0646048448034393,0.0710845259335839,0.0776828055358154,0.0761272668439065,0.0647358896537811,0.0776828055358154,0.4,0.37,0.35
1051,0.0730143128897402,0.0587054553377909,0.054792344085783,0.0471339782664653,0.0298029178522447,0.0730143128897402,0.39,0.36,0.34
1053,0.105743478206353,0.0669608240992271,0.0604791313661948,0.0427006181025076,0.0160867924261413,0.105743478206353,0.46,0.43,0.41
1055,0.0868735065240265,0.0758091901956842,0.0750528461217314,0.0668080165506158,0.0489016688663498,0.0868735065240265,0.42,0.39,0.36
1057,0.0612484349643455,0.0730281029135117,0.078912444238267,0.0798248637473087,0.0693080108666808,0.0798248637473087,0.4,0.37,0.35
1059,0.0775036450044183,0.086308433866513,0.0915069770912066,0.0913631419025966,0.0813212097716742,0.0915069770912066,0.43,0.4,0.38
1061,0.0723803223067526,0.0743679381404015,0.079455949424241,0.0818248763994577,0.068558007835521,0.0818248763994577,0.41,0.38,0.35
1063,0.0841767983551588,0.0637913177328501,0.0600385976785979,0.0453855110593237,0.025790553054348,0.0841767983551588,0.41,0.38,0.36
1065,0.0813560258660052,0.0675899309216673,0.0672305060932358,0.0563000244610308,0.0303557997424053,0.0813560258660052,0.4,0.37,0.35
1067,0.0754931939285673,0.0672141644426877,0.0678727822716837,0.0640864019656889,0.0469603044915243,0.0754931939285673,0.39,0.36,0.34
1069,0.0779767588628551,0.0650920287576197,0.0632649333545154,0.0559849580821164,0.0369502635988452,0.0779767588628551,0.4,0.37,0.35
1071,0.0718833876144561,0.0694136921700234,0.0734523442458554,0.0740385625405738,0.0686692282170912,0.0740385625405738,0.39,0.36,0.34
1073,0.0792251367319195,0.0568770519392214,0.0484238981042804,0.0308889997475729,0.0100816171404058,0.0792251367319195,0.4,0.37,0.35
1075,0.0616856100586306,0.0800754883746898,0.0878181185523303,0.0891956503296821,0.0864199353026212,0.0891956503296821,0.42,0.39,0.37
1077,0.0744272896016401,0.0702126296083202,0.0718686122216357,0.0636730307247808,0.0484535716942824,0.0744272896016401,0.39,0.36,0.34
1079,0.0697741624119703,0.0745150143141469,0.0756951630167815,0.0699407518706614,0.059799803907984,0.0756951630167815,0.39,0.36,0.34
1081,0.0910350250765808,0.060939186964886,0.056144534388512,0.0417323604759616,0.0155919230975941,0.0910350250765808,0.43,0.4,0.37
1083,0.0767764866187384,0.0654170220844588,0.0629562508942594,0.0540116821500485,0.0374236494900006,0.0767764866187384,0.39,0.37,0.34
1085,0.114137083127209,0.114891626910721,0.108980891854039,0.0837242876508369,0.0238654958380559,0.114891626910721,0.49,0.45,0.43
1087,0.0940087628360251,0.0989586434830996,0.103671540969405,0.091828711084561,0.0362275610973416,0.103671540969405,0.46,0.43,0.4
1089,0.072743050176716,0.0594557817777036,0.0550287205330247,0.0429680106391408,0.0246220406519659,0.072743050176716,0.39,0.36,0.34
1091,0.101341383232391,0.0825737527278958,0.0781662280636966,0.065983915127365,0.044118557256724,0.101341383232391,0.45,0.42,0.4
1093,0.0865379266269261,0.0867329525555632,0.0923996557958535,0.088665497451302,0.0726595068615879,0.0923996557958535,0.43,0.4,0.38
1095,0.0786150778965088,0.0732842022105092,0.0743074544928306,0.0708890030279474,0.0581773820026712,0.0786150778965088,0.4,0.37,0.35
1097,0.097637336983216,0.0619883668908751,0.0554372337605229,0.0372682808930973,0.0098853650836678,0.097637336983216,0.44,0.41,0.39
1099,0.0791462037952489,0.0703923279764406,0.0650602078256875,0.0492440185406129,0.0265542631838705,0.0791462037952489,0.4,0.37,0.35
1101,0.124655778591265,0.127794441080963,0.127304284182777,0.106827846578683,0.0404024842409465,0.127794441080963,0.52,0.49,0.46
1103,0.0768616312736325,0.0707183235814587,0.0697791044687594,0.0635438586975806,0.0516847569815582,0.0768616312736325,0.39,0.37,0.34
1105,0.134833445524119,0.068463860073887,0.0620744125659694,0.0439447208643999,0.0060469333838114,0.134833445524119,0.54,0.51,0.48
1107,0.0926980230688993,0.101292037557647,0.105564556025611,0.100136478250769,0.072196994025832,0.105564556025611,0.46,0.43,0.41
1109,0.0627300848318725,0.0554191594145054,0.0506916017041529,0.0352776309112448,0.0171625544561563,0.0627300848318725,0.36,0.34,0.32
1111,0.0636891531960224,0.053361649872747,0.0503214101316513,0.0345671252595959,0.0145835871278109,0.0636891531960224,0.37,0.34,0.32
1113,0.0803608046113423,0.0531978305971896,0.0485156324039992,0.0334080942145065,0.0079531816058635,0.0803608046113423,0.4,0.37,0.35
1115,0.0768815717240647,0.0622677122195785,0.0594039202264514,0.048848970167692,0.0276267035615738,0.0768815717240647,0.39,0.37,0.34
1117,0.0750348184981936,0.0595753431550458,0.0536372634617276,0.0406178665296735,0.0253427673231573,0.0750348184981936,0.39,0.36,0.34
1119,0.0767788618788438,0.0733929173113629,0.0714448593829949,0.0584005668561947,0.0309666167099721,0.0767788618788438,0.39,0.37,0.34
1121,0.0798101495288246,0.0656021562236004,0.0623747798683848,0.0509191656898354,0.0290217153158063,0.0798101495288246,0.4,0.37,0.35
1123,0.0744631939817055,0.0612593563045477,0.0568871899654291,0.0462091012919803,0.0232711220170222,0.0744631939817055,0.39,0.36,0.34
1125,0.0837617587557738,0.0719445613244678,0.0708615712465912,0.061211217140676,0.0412893711223088,0.0837617587557738,0.41,0.38,0.36
1127,0.0587858639607205,0.0666714144223486,0.0754189669334445,0.0757468589961984,0.0666934887124974,0.0757468589961984,0.39,0.36,0.34
1129,0.10190777334667,0.0909275237163737,0.0890118058426051,0.0796415236808238,0.0625416297477798,0.10190777334667,0.45,0.42,0.4
1131,0.0834365700116275,0.078808756645457,0.0772905982822247,0.0669880189092503,0.0471836884840582,0.0834365700116275,0.41,0.38,0.36
1133,0.0854285941703408,0.0836686402432407,0.0874892951856882,0.0860353095752297,0.0777049423341468,0.0874892951856882,0.42,0.39,0.37
2013,0.121250021913327,0.124727039543791,0.104275190505816,0.101059184151172,0.0921847599335016,0.124727039543791,0.51,0.48,0.45
2016,0.11725267041573,0.122049376578896,0.122000436652624,0.113753428639675,0.08644978509257,0.122049376578896,0.51,0.47,0.45
2020,0.070052543423961,0.0680921998476062,0.0708074608228413,0.0639462163896275,0.0406621565915791,0.0708074608228413,0.38,0.35,0.33
2050,0.0235723531439599,0.054007558449407,0.0633643302228534,0.0641197079816156,0.0518403584002766,0.0641197079816156,0.37,0.34,0.32
2063,0.0653636483312592,0.070798073864126,0.0518856719299533,0.0456904287193673,0.0288955855693808,0.070798073864126,0.38,0.35,0.33
2066,0.0054781023846801,0.0368557892389924,0.060547339336092,0.0659011606055849,0.0574912364849266,0.0659011606055849,0.37,0.34,0.32
2068,0.0518938603688259,0.0798799503081395,0.0969657442866231,0.0991055359472373,0.103560233104335,0.103560233104335,0.46,0.43,0.4
2070,0.0320429277557084,0.0527156219285502,0.0682375761239048,0.0706884238168082,0.0634413545524778,0.0706884238168082,0.38,0.35,0.33
2090,0.0609781576399405,0.0758450060779066,0.0829489890087769,0.0820467129358584,0.0678919976848833,0.0829489890087769,0.41,0.38,0.36
2100,0.0860783827789901,0.0505200109838825,0.0352891798958902,0.0187238273054405,0.0098853680488975,0.0860783827789901,0.41,0.38,0.36
2110,0.066771120308946,0.056855678800303,0.0571629809599796,0.0487712284445924,0.0266620443496357,0.066771120308946,0.37,0.35,0.32
2122,0.0464229040614805,0.0653192195998288,0.0767773441791996,0.0836902558082285,0.0786051187912058,0.0836902558082285,0.41,0.38,0.36
2130,0.0146144304573345,0.0365055896295813,0.0556171112053189,0.0688833366800822,0.0687338749330808,0.0688833366800822,0.38,0.35,0.33
2150,0.102566732298375,0.11183012019921,0.122082450454608,0.118431680280931,0.0835242829577846,0.122082450454608,0.51,0.47,0.45
2158,0.0343776761400218,0.0416605992844616,0.0547537481372614,0.0643095305886575,0.0543878778845195,0.0643095305886575,0.37,0.34,0.32
2164,0.0410974456740932,0.0574423302409462,0.0742552840413254,0.0758194637451991,0.0604199194085569,0.0758194637451991,0.39,0.36,0.34
2170,0.0358608074799499,0.0571597107371893,0.0727540757042431,0.0802704821183782,0.0779213207967816,0.0802704821183782,0.4,0.37,0.35
2180,0.0361545054762714,0.0631157628115224,0.0813242382971486,0.0946171804731005,0.0849057315078751,0.0946171804731005,0.44,0.4,0.38
2185,0.049263678008508,0.0740554413216961,0.0820648088323912,0.0778298255817242,0.0611678354331232,0.0820648088323912,0.41,0.38,0.35
2188,0.0258724055252196,0.0553105135789302,0.0783810173299126,0.0868095797738434,0.0782947700005828,0.0868095797738434,0.42,0.39,0.36
