FIPS,Dates of First Peaks,Dates of Second Onsets
31039,35,223
31109,33,152
72085,24,125
46099,27,188
21053,48,214
39063,28,196
48189,32,197
01027,34,188
39003,29,203
13189,34,195
55111,33,130
05137,37,180
41063,41,193
42007,31,153
28061,33,201
29083,33,204
08109,34,171
37037,33,139
40001,42,196
39085,17,133
51775,33,144
51121,40,132
47065,28,165
35035,40,173
01091,32,176
56023,33,166
29011,32,176
48057,33,173
51735,33,145
54075,33,120
48077,32,167
51095,29,134
31101,33,216
31137,36,177
22019,37,180
22111,33,194
40135,42,196
01049,37,200
36101,33,122
42053,35,216
22105,33,180
51179,26,139
26109,35,201
18073,26,190
13025,40,216
13171,28,202
18151,33,200
48361,33,202
39047,32,203
25015,26,126
21003,33,214
37001,33,146
20073,33,216
25025,26,116
16051,34,190
48177,38,180
47115,42,195
26007,37,118
21231,89,242
47185,42,202
48147,36,192
20043,37,195
48265,34,155
12053,37,169
12129,37,197
12131,37,183
28017,40,193
02130,42,139
26035,37,146
12127,30,169
40017,35,203
72115,24,121
13115,34,202
32001,44,195
17067,40,193
46067,34,160
41013,40,165
50011,33,112
26103,33,139
09007,26,134
37057,33,202
17025,34,193
29117,43,204
42117,32,139
31043,33,216
26089,33,132
51181,26,144
48391,32,188
39017,29,196
13273,40,195
13063,29,181
56013,40,166
18115,36,209
13073,34,188
42043,27,153
46101,34,237
54079,33,193
34037,22,128
18123,35,209
28145,40,193
27095,41,132
38099,38,187
39115,31,161
39133,17,140
56041,36,166
32013,41,174
48247,36,173
41005,33,130
05113,35,189
13193,28,202
18007,33,211
47129,42,215
24047,27,138
17185,33,189
18069,33,204
21209,33,221
19053,42,188
18169,33,195
18003,33,195
18099,33,188
48127,33,176
27045,37,130
45023,34,194
27073,48,217
49005,36,161
55093,33,130
13049,40,181
13233,26,202
17113,33,123
23001,58,130
16055,43,169
32003,33,209
20147,37,209
31089,33,162
29101,33,190
55063,33,130
22021,33,96
21061,48,214
17005,33,152
17009,34,235
27085,41,139
55033,33,126
29123,35,197
48353,36,197
42127,29,139
36091,28,121
48041,31,179
40095,42,196
24001,27,208
54103,33,242
55053,33,207
41007,33,140
53041,40,155
36003,33,127
19031,35,139
18117,33,169
13089,26,153
13227,34,195
30015,40,190
47013,42,209
37069,33,146
24510,22,134
20111,33,146
19027,42,188
47123,42,216
19151,35,160
16045,48,190
05063,41,195
05085,34,182
18111,33,201
13119,34,209
12051,30,197
48245,33,195
08067,28,158
48027,38,187
28069,33,217
05019,28,173
41035,40,174
36075,28,99
72105,19,127
01019,34,200
48019,33,187
30087,65,225
26153,35,146
36111,25,121
34007,25,135
17083,33,179
51085,33,137
26003,33,180
05049,34,179
48215,34,187
37155,33,160
26123,35,139
41049,35,173
27153,41,217
05083,35,188
37109,33,174
05091,34,190
12095,30,155
16041,40,162
13045,26,195
20161,42,195
51167,43,221
37027,33,202
16065,34,169
18173,33,174
21001,48,207
21077,33,207
21097,36,165
23023,55,126
48181,36,191
42059,35,216
02188,49,195
20051,33,209
01065,32,179
01105,32,179
01033,32,189
20151,33,174
21017,48,179
47149,35,180
13075,34,202
17147,26,111
48107,33,201
72053,24,126
01063,35,179
19109,28,195
72151,24,124
37063,33,132
19085,35,188
19187,35,209
47159,42,174
51089,33,158
51510,19,132
19101,42,181
30049,40,169
49013,41,189
40003,35,238
48119,31,189
47169,42,214
21193,48,214
41029,33,153
72067,21,123
48507,33,181
19121,35,195
12011,23,155
13279,40,202
26151,33,229
48397,32,187
26163,26,132
27105,41,210
27001,41,124
38071,42,203
37145,33,195
28151,33,193
48133,33,203
48123,33,187
48005,33,193
45081,34,208
29125,35,183
05001,35,181
29109,36,183
51540,33,132
17011,33,174
39145,32,196
37115,48,146
16053,79,195
39163,32,210
48309,33,113
19089,35,132
12099,23,225
13181,34,216
01013,32,182
47165,28,179
51097,33,203
05015,35,181
51820,33,116
02220,35,118
41051,33,124
47061,42,195
27057,41,210
36089,30,110
29179,42,197
06067,33,144
39125,33,189
18179,33,197
51063,33,291
06083,33,145
54005,36,179
28009,40,228
21055,33,158
19147,28,216
37151,33,202
24015,27,138
18171,36,218
31095,33,166
31151,33,216
21119,48,214
19045,35,202
27063,41,203
27039,36,123
27047,34,231
06009,36,158
25001,26,126
51119,33,158
42065,32,146
18089,26,134
47003,42,197
47027,42,203
17029,33,200
47097,35,173
41001,37,179
36097,29,105
26159,33,208
17131,33,138
21127,48,221
21175,48,228
21177,33,193
17049,33,187
47105,42,202
15003,29,146
12041,44,197
18157,33,123
42109,34,146
48277,33,196
12086,23,155
48289,32,187
08097,19,161
38035,34,169
18091,26,141
18057,33,134
51595,40,231
40081,35,196
13145,34,188
13251,34,195
72127,18,125
39069,30,217
33009,33,116
29145,43,169
18129,33,195
17035,35,214
13297,26,195
27121,48,139
51157,26,97
51009,33,160
06111,33,151
17033,35,188
08093,26,152
06037,32,158
04027,33,202
13129,34,216
19025,35,167
12055,37,197
51580,99,153
50017,64,125
20113,35,202
04021,37,98
39051,32,217
08003,34,161
12017,37,183
72051,24,125
47041,42,195
42031,35,146
18031,36,209
18037,33,207
51057,29,144
45089,34,188
36031,28,125
19195,35,188
40063,42,196
51027,40,280
51005,40,180
28087,40,190
18143,33,201
08099,36,175
72121,28,130
40101,42,196
29043,35,169
72039,24,120
28073,33,193
18137,33,204
38057,35,172
13147,34,202
22049,33,189
51133,26,130
48157,26,160
55047,34,118
30073,48,197
55127,34,134
17057,33,147
36103,18,126
18161,33,179
29119,34,204
31157,35,216
35047,33,165
01081,32,188
48367,33,193
38003,41,200
27143,41,134
13293,27,195
06097,33,138
26033,33,139
16019,34,190
13013,29,202
13183,40,216
40115,42,189
42033,36,146
26037,35,132
72133,24,127
17135,33,179
28003,33,193
28071,33,190
22043,40,172
29005,50,190
17115,33,158
26149,35,215
17055,33,187
31001,33,216
27109,36,127
34039,18,132
72139,24,122
01097,32,179
46087,27,223
01057,35,224
01017,32,186
37131,33,174
08081,33,160
21087,48,214
18047,33,214
37013,33,209
72073,25,126
38015,34,176
37159,33,195
26071,33,229
