process_method,method,curve_index,a_value,rep,flow_over_population,prevalence_peak,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
31,linear,20,1.0,0,0.0,87046.0,0.0,552.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,1,0.0,86597.0,0.0,103.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,2,0.0,85699.0,0.0,-794.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,3,0.0,87103.0,0.0,609.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,4,0.0,86420.0,0.0,-73.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,5,0.0,85693.0,0.0,-800.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,6,0.0,86329.0,0.0,-164.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,7,0.0,87455.0,0.0,961.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,8,0.0,86329.0,0.0,-164.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,9,0.0,87138.0,0.0,644.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,10,0.0,87044.0,0.0,550.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,11,0.0,86238.0,0.0,-255.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,12,0.0,86313.0,0.0,-180.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,13,0.0,87396.0,0.0,902.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,14,0.0,87510.0,0.0,1016.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,15,0.0,85407.0,0.0,-1086.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,16,0.0,86975.0,0.0,481.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,17,0.0,85764.0,0.0,-729.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,18,0.0,86395.0,0.0,-98.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,19,0.0,87184.0,0.0,690.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,20,0.0,86303.0,0.0,-190.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,21,0.0,86130.0,0.0,-363.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,22,0.0,86641.0,0.0,147.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
